Title,Year,Rating,Votes:,Time,Genre,Stars,Short Story
The Package,(2017),6.9,308,-,"Adventure, Comedy, Drama","Dong-il Sung, Young-Sun Kim, Ji-hyeon Lee, So-young Kim","
Yoon So-So (Lee Yeon-Hee) works as a travel guide in France. She leads a group of tourists on a package tour. The travelers all have their own stories. San Ma-Roo (Jung Yong-Hwa) joined the...                See full summary »
"
Monstar,(2013),7.0,225,-,"Drama, Music, Romance","Joon-hyung Yong, Yeon-Soo Ha, Kang Ha-Neul, Min-yeong Kim","
Yoon Sul-Chan is the vocalist for the fictional group ""Man in Black"". He carries deep wounds within his mind, but doesn't express his feelings. Because of his hot temper, he causes trouble....                See full summary »
"
Your Lady,(2013– ),-,-,-,"Drama, Romance",-,"
Eun-Soo and Jung-Hoon meet by chance then fall in love. Their love is cut short when Eun-Soo experiences amnesia after being in a car accident. Eventually, Eun-Soo begins a new life under the new name of Yoo-Jung."
Oh! My Lady,(2010– ),6.9,214,-,Drama,"Hyoyeon, Sooyoung Choi, Jessica Jung, Rim Chae","
Series Outline: Sung Min Woo is the top male star in Korea due to his good looks and singing talent. Ambitious, he moved into TV dramas which he helps with his star power and hinders with ...                See full summary »
"
Star's Lover,(2008–2009),6.7,23,-,"Drama, Romance","Choi Ji-woo, Yoo Ji-Tae, Ki-woo Lee, Ye-ryeon Cha","
Star's Lover is a warm-hearted tale of a woman being pursued by four men. When bookish university professor Kim Chul Soo runs out of money and is forced to accept help from his ...                See full summary »
"
Dae Wang Sejong,(2008),7.6,25,-,"Drama, History","Kim Sang-kyung, Yun-ji Lee, Yeong-cheol Kim, Myeong-Gil Choi","
Born as the third prince, Chung Nyeong, was far from ascending the throne. His early years were turbulent as Korea faced political tensions from both within and abroad and facing abduction ...                See full summary »
"
Summer Days,(2008),-,-,5 min,"Comedy, Romance",-,"
This is about how three people crossing fates come together on a summer day."
"Take Care of Us, Captain",(2012),7.4,82,60 min,"Comedy, Drama, Romance","Ku Hye-Sun, Jin-hee Ji, Seon Yu, Cheon-hee Lee","
Han Da Jin is an inspired pilot who tragically loses both of her parents after graduating from a prestigious pilot school in the US. She looses her faith in flying, but finds a reason to ...                See full summary »
"
Secret Mother,(2018– ),7.8,27,35 min,"Drama, Mystery","Song Yun-ah, Yeon-ah Oh, Kim Byeong-Ok, Hwa-yeon Cha","
Kim Yoon Jin was once a psychiatrist, who quit her job to care for her husband and son. She previously had a daughter who died. Yoon Jin carries a sense of guilt over her daughter's death. ...                See full summary »
"
Operation Proposal,(2012– ),6.8,136,65 min,"Comedy, Fantasy, Romance","Yoo Seung-ho, Eun-bin Park, Lee Hyun-Jin, Kim Ye-Won","
Kang Baek Ho realizes that he is in love with his best friend, Ham Yi Seul, on the day of her wedding to another man. He travels back in time to various events of their lives hoping to ...                See full summary »
"
Heart to Heart,(2015),7.4,162,-,"Comedy, Romance","Kang-hee Choi, Jeong-myeong Cheon, Sohee, Jae-yoon Lee","
Cha Hong Do blushes extremely caused by her social anxiety disorder. She has a crush on Jang Doo Soo for years, but she is unable to even talk to him and runs away if he encounters her. Then she meets Go Yi Seok, an egoistic psychiatrist."
Strongest Chil Woo,(2008),7.0,38,-,"Action, Drama, History","Eric Moon, Ku Hye-Sun, Yoo Ah-in, No-min Jeon","
Chil-woo was a lowly police officer during the Joseon era. His parents were killed in a raid and his main goal was to stay below the radar to survive. However when his sister was killed, ...                See full summary »
"
All About My Mom,(2015–2016),8.0,40,-,Drama,"Yoo-jin Kim, Sang-woo Lee, Du-shim Ko, Kim Kap-su","
Jin Ae has a love and hate relationship with her mother San Ok. She dreams of becoming independent from her family and especially from her mother. Jin Ae falls in love with Hoon Jae and ...                See full summary »
"
Choco Bank,(2016),6.2,124,17 min,Drama,"Lee Il-Hwa, Eun-bin Park, Kai, Joon-seok Yeon","
Can everyone fulfill the destiny of his or her name? Kim Eun Haeng (Kai) was named after the word ""bank"" in Korean. But despite his auspicious name, Eun Haeng is still struggling to land his first job after graduating from college."
The Banker,(2019– ),7.2,14,-,Drama,"Sang-Jung Kim, Shi-ra Chae, Dong-Geun Yoo, Kim Tae-Woo","
A re-make of the Japanese ""Auditor Nozaki Shuhei"", it is the story of a bank auditor who pursues justice and the changing of policies in an era where the economic bubble is collapsing, and ...                See full summary »
"
Two Mothers,(2014– ),7.4,18,60 min,"Drama, Romance","Hong-Jin Ahn, Im Chae-moo, Dong-joo Hwang, Seo-hee Jang","
Add a Plot
"
Kamen Rider Blade,(2004–2005),7.8,290,25 min,"Action, Adventure, Drama","Takayuki Tsubaki, Kôsei Amano, Ryôji Morimoto, Yumi Egawa","
Millions of years ago, species of animals fought on the Earth for dominance. These species were called the Undead, and humanity (somehow) won the great battle. In the present, someone ...                See full summary »
"
New Tales of the Gisaeng,(2011– ),8.0,42,-,"Drama, Romance","Soo-hyang Im, Sung Hoon, Hye-Rin Han, Jin-hie Han","
Add a Plot
"
Big Issue,(2019– ),7.5,61,-,Drama,"Ju Jin-Mo, Ye-seul Han, So-yul Shin, Minseo Kim","
Add a Plot
"
Midas,(2011– ),7.3,109,-,Drama,"Jung-woo Choi, Ho-jin Chun, Kim Hee-ae, Jang Hyuk","
Kim Do-hyun (Jang Hyuk), smart and ambitious lawyer, was in relationship with Lee Jung-yeon (Lee Min-jung). The peaceful relationship soon ran into problem when Do-hyun was lured into the world of hedge fund and money greed."
Uncle,(2021– ),-,-,-,"Comedy, Drama",-,"
A music drama about an unemployed uncle and his 12-year-old nephew."
Make a Wish,(2014–2015),-,-,-,"Drama, Romance",-,"
So-Won struggles to prove that her comatose husband is innocent of embezzlement."
Jumping Girl,(2015),5.3,62,9 min,Drama,-,"
How in the world can this happen? Nam Sang Ah [(f(x)'s Luna] is an ordinary girl. But her life is turned upside down when she mistakenly become the victim of a public witch hunt."
7th Grade Civil Servant,(2013– ),5.8,131,65 min,"Action, Romance","Joo Won, Hye Eun Lee, Kang-hee Choi, Hwang Chan-sung","
A romantic comedy about a spy couple who hides their true identity from each other and at the same time illustrates about the love, friendship and internal department conflicts between the new generation of national intelligence agents."
Dating Class,(2019),7.5,12,-,Romance,"Jang Gyu-ri, Kim Jiwoo, Chan-yi Choi, Park Seoham","
The web drama tells the story of six newly admitted university students who are still awkward when it comes to dating. These students have to take ""dating lessons"" and then apply what they've learned by going on dates. (Soompi)"
Produce X 101,(2019– ),7.1,58,-,"Music, Reality-TV","Lee Dong-Wook, Yoon-Jeong Bae, Cheetah, Seok-Hoon Lee","
Add a Plot
"
Boing the Play Ranger,(2013– ),7.3,11,-,Animation,"Aidan Barnaby, Yuri Lowenthal, Lucy Todd, Travis Willingham","
Welcome to the village of Playville. A fun and colorful playground town filled with lovable characters that can transform into playground rides."
Friends,(2002– ),7.8,197,50 min,"Drama, Romance","Won Bin, Kyôko Fukada, Kelly Chen, Kevin Brief","
A Japanese male tourist and a South Korean female film student become friends in Hong Kong. Before heading back to their respective countries, they promise to meet again without knowing what fate has in store for them."
Hundred Year Inheritance,(2013),7.8,32,-,"Drama, Romance","Yoo-jin Kim, Lee Jung-Jin, Choi Wonyoung, Ah Jung Yoon","
""Cinderella"" tale, unrequited love."
Your House Helper,(2018),7.1,148,30 min,Drama,"Ha Seok-jin, Bona, Ji-Hoon Lee, Won-Hee Go","
The daily life of an average working woman involves: a packed subway during the rush hours, a miserable old boss, juniors clawing their way up, mounting credit card debt, and a rusty and ...                See full summary »
"
Eccentric! Chef Moon,(2020– ),7.2,53,-,"Comedy, Drama, Romance","Eric Moon, Won-Hee Go, Jung Won Cha, Lee Dong-yong","
The drama is a healing romantic comedy that follows the live and love of a star chef Moon Seung-mo and a reckless famous fashion designer Yoo Yoo-jin after they meet each other at Seoha Village."
Gold Rainbow,(2013– ),7.7,58,-,"Drama, Romance","Kim You-Jin, Il-Woo Jung, Ye-ryeon Cha, Jae-yoon Lee","
7 siblings, all of whom are orphans and not blood-related, love each other more than real siblings. They go through many hardships together. Challenges then wait in the seafood industry."
A Poem a Day,(2018),7.4,194,65 min,"Comedy, Drama","Lee Yoo-Bi, Lee Joon-hyuk, Dong-Yoon Jang, Hyun-chul Seo","
Story follows a group of physical therapists, nurses, radiological technologists, and trainees. Ye Jae Wook works as a physical therapist and also teaches in the same field. He begins to ...                See full summary »
"
MONSTA X-Ray,(2017– ),8.5,28,50 min,Reality-TV,"Changkyun, Hyungwon, Jooheon, Kihyun","
K-Pop Boyband 'Monsta X' perform a TV-Reality showing several ""missions"" to fulfill and to get to know the members better."
Teuripeul,(2009– ),6.2,41,60 min,Drama,"Lee Jung-jae, Hyo-Rin Min, Sun-kyun Lee, Yoon Kyesang","
Add a Plot
"
Equalizer,(2015),-,-,5 min,Comedy,-,"
Add a Plot
"
Woman with a Suitcase,(2016),7.0,56,-,Drama,"Choi Ji-woo, Ju Jin-Mo, Hye-bin Jeon, Joon Lee","
A paralegal that has a reputation for getting things done meets a former prosecutor turned paparazzi owner who is trying to unravel the case that got him disbarred. She'll do whatever it ...                See full summary »
"
We Are Dating Now,(2002– ),7.3,28,-,"Drama, Romance","Rim Chae, Yoon-young Choi, Jin-hie Han, So Ji-seob","
Ho-Jung is a cute, naive girl who often falls head over heals with the wrong guys. Both Ho-Jung and Kyu-In, her neighbor, are idealistic about love. They start off on the wrong foot and ...                See full summary »
"
Love Cells,(2014– ),6.2,98,-,"Comedy, Romance","Park Seon-ho, Kim Yoo-jeong, Joon Park, Ji-Hyun Nam","
Fresh from playing matchmaker in Love Cells, the love guru Nebi (Kim Yoo Jung) returns to work her magic on a couple that is tragically torn apart when they lose memories of their romance."
Black Dog,(2019– ),7.9,74,-,Drama,"Hyeon-jin Seo, Mi-ran Ra, Ha-Joon Song, Tae-hee Heo","
Black Dog is about a story of a young woman who gets a short-term teaching position and does her best to fight for students' dreams in school. The drama will take a deep look into the lives...                See full summary »
"
New Heart,(2007–2008),8.0,53,-,"Drama, Romance","Seong Ji, Jae-Hyun Cho, Min-Jung Kim, Ji-Hoon Lee","
The pride and frustration of cardiac surgeons on the job. Lee Eun Sung graduated from a newly established medical school in the southern province and not from an elite one like the Hwang ...                See full summary »
"
Drinking Solo,(2016– ),6.3,221,62 min,"Comedy, Romance","Ha Seok-jin, Ha-seon Park, Kim Dong-young, Myoung Gong","
The story depicts people drinking alcohol alone for different reasons and the romance between Jin Jeong Seok and Park Ha Na. They both work at a private institute for people preparing for ...                See full summary »
"
Our Gap-soon,(2016–2017),6.4,41,-,"Drama, Romance","Kim So-eun, Jae-rim Song, Dae-chul Choi, Jeon Gook-hwan","
A couple faces many challenges in order to make a life together. Heo Gap Dol (Song Jae Rim) has failed the law exam many times after graduating from college, despite his best efforts to ...                See full summary »
"
A Thousand Kisses,(2011–2012),7.6,24,70 min,"Drama, Romance","Hyo-jeong Ban, Hwa-yeon Cha, Jae-sun Jeong, Hyun-Woo Ji","
After divorcing her unfaithful husband, Joo-Mi receives a second chance at romance with an ex-professional soccer player named Woo-Bin. However, Joo-Mi's and Woo-Bin's age gap poses challenges to be overcome."
20th Century Boy and Girl,(2017),7.0,113,-,"Comedy, Romance","Se-Hwi Shin, Park Seoham, Choi Bo-Min, Seul-gi Park","
The friendship and love lives of three single virgins born in 1983. The boy they liked in their youth shows up one day when they live in rundown apartments. They discover the meaning of home, family, and friendship."
Thirty Nine,(2022– ),-,-,-,"Romance, Drama",-,"
A story of three female friends who are 39-years-old."
"Sangdo, Merchants of Joseon",(2001–2002),8.3,47,-,"Drama, History, Romance","Kim Hyun-joo, Bo-seok Jeong, Jae-ryong Lee, Soon-jae Lee","
Based on The Merchant of Joseon novel by Choi In-ho: the story of Lim Sang Wok, a legendary and wise merchant who lived in the Joseon Dynasty period."
Secret Boutique,(2019– ),7.1,29,-,Drama,"Yull Jang, da-Eun Jung, Chang Ryul, Park Seo-Kyeong","
""Secret Boutique"" is a story of woman power and the corrupt upper echelon as it searches for power and survival using money."
Nori Roller Coaster Boy,(2018),4.7,9,12 min,Animation,"Thomasin McKenzie, Peter Hambleton, Abby Damen, Jason Whyte","
A shy and brave boy, Nori, lives in the famous amusement park, Nori Park. Nori wants to be the star of rollercoasters and a hero, like his father Dragon Rider, who is the king of racing and...                See full summary »
"
Time Traveler Luke,(2020–2021),7.6,5,-,Adventure,"Lexi Fontaine, Lorne Edward Oliver, Erik Schuster, Barri Tsavaris","
The sudden disappearance of Paul leaves a few clues that lead his grandson, Luke to a Time Traveling Elevator. Luke now must travel in time to find his missing grandfather."
Divorce Lawyer in Love,(2015),7.4,99,-,"Comedy, Romance","Yeo-jeong Cho, Woo-jin Yeon, Hyung Tak Shim, Ji-won Wang","
Go Cheok Hee (Jo Yeo Jung) was once a tenacious divorce lawyer willing to do anything to win, including an incident that got her disbarred, much to the pleasure of her condescending office ...                See full summary »
"
Manhole: Feel So Good,(2017),6.3,113,60 min,"Comedy, Drama, Fantasy","Kim You-Jin, Hye-Seong Jung, Jae-Joong Kim, Baro","
Bong Pil has been preparing for his civil servant examination for the past three years, but he is not enthusiastic about his studies. He wanders around neighborhoods. He then travel with ...                See full summary »
"
"I Do, I Do",(2012),6.7,180,-,"Comedy, Drama","Soo-hyang Im, Lee Jang-woo, Keon-hyeong Park, Kim Seon-a","
Hwang Ji An is the top shoe designer in a major shoe company. She is in her 30s, successful and single. One night, she makes a horrible mistake and sleeps with Park Tae Gang, a good-looking...                See full summary »
"
Aja aja tayo,(2018–2021),-,-,-,"Game-Show, Reality-TV",-,"
Add a Plot
"
Edeonui dongjjok,(2008–2009),7.3,173,-,"Action, Drama, Romance","Park Hae-Jin, Mi-seon Jeon, Mi-sook Lee, Song Seung-heon","
On the same night in a small mining town, two children are born in the same hospital. One is the son of miner Lee Ki Chul. The other is the son of mine manager Shin Tae Hwan. When a nurse, ...                See full summary »
"
Growing Season,(2020–2021),7.9,11,-,Romance,"Soo Ah Park, Ji-Won Park, Chae-Eun Kim, Kim Kang Min","
A realistic portrayal of college students through a phase of 'wanting to grow passionately, and wanting to do well.'"
The Queen's Flower,(2015– ),8.3,22,-,"Drama, Romance","Sung-ryung Kim, Dean Dawson, Daniel Joey Albright, Woo-Ri Go","
Trying to escape a troubled past in Korea, Lee Soo-Jung (Kim, Song-Ryong) immigrates to the United States, to reinvent herself as Rena Jung. In America, she enrolls in culinary school but ...                See full summary »
"
JYP's Party People,(2017– ),-,-,70 min,"Music, Talk-Show",-,"
Park Jin Young's Party People is a South Korean television program hosted by Park Jin Young. It is mainly a music talk show with the atmosphere of a club, with alcoholic drinks."
Second to Last Love,(2016),7.1,61,-,"Drama, Romance","Kim Hee-ae, Jin-hee Ji, Si-Yang Kwak, Seul-gi Kim","
Kang Min Joo (Kim Hee Ae) is a pragmatic, single, 40-something television producer who has no time for love and pretends she doesn't want any either. Deep down, though, she does wish ...                See full summary »
"
Mecard,(2018– ),6.1,26,-,Animation,"Brandon Winckler, Xander Mobus, Cherami Leigh, Ben Diskin","
Jason meets an alien talking car who can transform into a giant legendary Mecardimal warrior. But he's not the only one out to tame Mecardimals. Now Jason must learn how to master every weapon, attack and ability before the other guys do."
Can We Get Married?,(2012–2013),6.8,106,56 min,"Comedy, Romance","Sung Jun, Jung So-Min, Seong-min Kim, Ae Yun Jung","
The drama revolves around a mother who gets involved in her daughters' marriages which causes more harm than good. Deul Ja (Lee Mi Sook) is a strong, meddling mother with daughters to marry...                See full summary »
"
Feast of the Gods,(2012– ),7.5,35,-,Drama,"In-hwa Jeon, Hye-seon Jeong, Bo-yeon Kim, Sang-uk Joo","
Set within the backdrop of a traditional royal cuisine restaurant named Arirang, two women grow as chefs through competitions with each other, either in love or life."
Idol Room,(2018– ),7.2,72,60 min,"Game-Show, Talk-Show","Defconn, Hyeong-don Jeong, Twice, Gfriend","
Find out all about your favorite K-pop idol groups. Hosted by the ""idol experts"", Jeong Hyeong-don and Defconn."
The Man Who Can't Get Married,(2009),7.0,114,-,"Comedy, Drama, Romance","Jin-hee Ji, Uhm Junghwa, Kim So-eun, Jung-ah Yang","
Cho Jae-hee is in his 40s and has yet to be married, however his personality repels women from marriage. However, Jae-hee, is perfect in everything that he does. His life is surrounded by ...                See full summary »
"
Mary Stayed Out All Night,(2010),6.7,742,65 min,"Comedy, Drama, Music","Moon Geun-young, Keun-Suk Jang, Kim Jae-Wook, Hyo-jin Kim","
Wi Mae Ri is the cheerful, pragmatic daughter of a failed businessman who had grown used to being constantly on the move to evade loan-sharks. She becomes fast friends with free-spirited ...                See full summary »
"
Can You Hear My Heart?,(2011– ),7.7,186,65 min,"Comedy, Drama, Romance","Jae-won Kim, Hwang Jeong-eum, Min Namkoong, Lee Hye-yeong","
Can You Hear My Heart features Hallyu stars Kim Jae Won, Hwang Jung Eum and Nam Goong Min in this romantic drama that shows us love in defiance of physical limitations. Dong Joo (played by ...                See full summary »
"
Marry Me Now,(2018– ),7.8,54,70 min,Romance,"Seon-yeong Park, Ji-hye Han, Chae-Yeon Jung, Sang-woo Lee","
Add a Plot
"
Mix Master,(2006– ),8.0,37,-,Animation,"Maryke Hendrikse, Stephanie Komure, Marlo Flanagan, Bryce Papenbrook","
The town of Gamebridge has mixed up with a magical game world. Monsters are running wild, and an evil prince is plotting world conquest. The folks of Gamebridge must turn to an unlikely hero who will save the world."
Untouchable,(II) (2017– ),7.4,54,-,Drama,"Eun-ji Jung, Jae-ryong Cho, Yoon-Ha Ji, Soo-jin Kyung","
The city of Bukcheon has been dominated by the Jang family for 3 generations. Jang Joon-Seo (Jin Goo) is the second son of family leader Jang Beom-Ho. A woman who Jang Joon-Seo loves dies. ...                See full summary »
"
12 Years Promise,(2014– ),7.4,174,70 min,"Comedy, Drama, Romance","Im Ji-Hyun, So-yeon Lee, Min Namkoong, Ho-jin Chun","
A pregnant teen is forced by her family to leave her boyfriend and assume a new identity in America, but 12 years later, the couple reunites in Korea."
Avengers Social Club,(2017),8.1,175,60 min,"Comedy, Drama","Mi-ran Ra, Yo-won Lee, Se-bin Myeong, Joon-Young Lee","
This series features three women from different status coming together for revenge. They join forces to carry out their individual revenges."
Mnet Asian Music Awards,(1999– ),6.8,13,280 min,Music,"BTS, EXO, Seventeen, Got7","
The Mnet Asian Music Awards (abbreviated as MAMA) is a major South Korean music awards ceremony presented annually by entertainment company CJ E&M. The majority of prizes are awarded to ...                See full summary »
"
Life Is Beautiful,(2010– ),8.2,51,-,"Family, Romance","Yeong-cheol Kim, Kim Hae-sook, Chang-ui Song, Woo Hee-Jin","
The story of a Korean family living on Jeju Island, viewed through the eyes of its multiple generations."
Eunjuui Bang,(2018– ),7.2,19,-,Drama,"Da-Won Jung, Bo-mi Kim, Jae-young Kim, Jeong-hwa Kim","
The tale of Shim Eun Joo, a self-employed woman who is trying to redefine her life after winning a big project as an editorial designer and subsequently struggling on her own."
Girls Planet 999,(2021),7.0,14,-,"Reality-TV, Music","Heuning Bahiyyih, Kim Bora, Kim Chaehyun, Yu-Jin Choi","
99 contestants participating in the competition. 33 Korean, 33 Japanese, and the last 33 consisted of Chinese, Taiwanese and Hongkongers. They are Competing against each other and people ...                See full summary »
"
The King and I,(2007–2008),7.7,25,70 min,"Drama, History","Jae-mo Ahn, Jung-hoon Ahn, Seung Do Baek, Park Bo-Young","
It's about Kim Cheo Seon's life during the Joseon Dynasty. Kim Cheo Seon was a loyal and faithful eunuch for various Kings, such as the 5th King, Munjong, and the 10th King, Yeonsangun, during the Joseon era."
My Unfortunate Boyfriend,(2015– ),6.2,58,-,"Comedy, Romance","Yoon Hak, Hye-Rin Han, Min-woo No, Jin-Sung Yang","
Yoo Ji Na (Yang Jin Sung) is a budding career woman who has absolutely no issues with lying to get what she wants. But when she falls for the innocent and naive Yoon Tae Woon (No Min Woo), ...                See full summary »
"
Dibo the Gift Dragon,(2006– ),6.1,17,-,Animation,-,"
Meet Dibo, a kindhearted dragon with a love of learning, friendship, and magical adventure!"
Local Hero,(2016– ),7.3,93,65 min,"Crime, Thriller","Jo Sung-ha, Lee Soo-hyuk, Yuri Kwon, Tae-young Yoon","
Baek Shi-Yoon is an ex-secret agent. He is a well-trained human weapon. Hiding his past, he buys the bar ""Neighborhood"", runs it is as owner and meets a young man who wants to become a ...                See full summary »
"
"Breakup Probation, A Week",(2020– ),7.0,14,-,"Drama, Fantasy, Romance","Ga-rim Han, Kwon Yu Ri, Hyun Woo","
Ga Ram and Seon Jae who are about to get married suddenly got into a car accident. The accident left Seon Jae in a coma, and for Ga Ram to lose her life. After leaving this world, Ga Ram ...                See full summary »
"
Abnormal Summit,(2014– ),7.7,33,-,"Game-Show, Talk-Show","Robin Deiana, Hyun-Moo Jun, Yoo Se-Yoon, Si-Kyung Sung","
Add a Plot
"
Evasive Inquiry Agency,(2007– ),7.9,28,-,Comedy,"Lee Min-ki, Seung-su Ryu, Eun-seong Lee, Han-wi Lee","
Moo Yeol is a taekwondo instructor who falls for Eun Jae at first sight when she comes and asks him to help her find gold treasures at the agency. Hee Kyung is a tarot card master and Yong ...                See full summary »
"
Ms. Temper & Nam Jung-Gi,(2016),7.4,244,-,Drama,"Yoon Sang-Hyun, Hwang Chan-sung, Yo-won Lee, Hwang Bo-ra","
Marketing Department Manager, Nam Jung-gi (Yoon Sang-hyun) is so nice that his colleagues call him ""Father Theresa"" and ""Walking UNICEF"". There is nothing that can ruffle Jung-gi's feathers...                See full summary »
"
Marry Him If You Dare,(2013),6.1,227,-,"Comedy, Fantasy, Romance","Yun Eun-hye, Dong-geon Lee, Yong-hwa Jung, Chae-Ah Han","
32 years old for woman is an age which may be little too late to start something new or little too early to give up something. The 'future-self' comes to 'me' today and gives advices about ...                See full summary »
"
Mask Masters,(2013–2014),7.9,14,22 min,"Animation, Action, Adventure","Allen Enlow, David Errigo Jr., Park Hee-eun, Eun-ah Kim","
The world has been designed by the so called '12 elements'. 12 months. 12 hours. 12 sectors, etc. Among them, there were 12 wisdoms that maintained peace and happiness throughout the world....                See full summary »
"
Kamen Rider Drive,(2014–2015),7.6,274,24 min,"Action, Adventure, Comedy","Ryoma Takeuchi, Rio Uchida, Rei Yoshii, Chris Peppler","
Shinnosuke Tomari is a former elite police officer in the Metropolitan Police who after an event that traumatized one of his colleagues has been ""demoted"" into the Special Investigations ...                See full summary »
"
Maids,(2014–2015),7.3,65,-,"Drama, History, Romance","Yu-mi Jeong, Ji-Ho Oh, Dong-wook Kim, Gook-hee Chae","
Set in the Joseon Dynasty, three women learn what love means as they try to navigate through the class system and survive. In Yup is a beautiful noblewoman who becomes a servant overnight ...                See full summary »
"
My Beloved Sister,(2006–2007),5.2,5,60 min,Drama,"Song Yun-ah, Seong-su Kim","
Maturity comes to some with very difficult life lessons. Yoon Seung Joo (Song Yoon Ah) grew up in the lap of luxury and has never wanted for anything while growing up."
Return,(2018),7.3,73,35 min,"Drama, Mystery, Thriller","Kim Dong-young, Jung Eun-chae, Jin-geun Kim, Rin-Ah Shin","
Choi Ja-Hye is a lawyer and Dokgo Young is a detective with a hot temper,but they must work together to solve a murder case in which the suspects are children from the elite class."
How to Buy a Friend,(2020),7.3,24,-,Drama,"Oh Hee-Joon, So-hye Kim, Do-hee Min, Seung-Ho Shin","
Rumors surround Don Hyuk, a highly praised high school fighter, after his girlfriend's sudden suicide Plagued by the trauma he is quick to fight if someone even mentions her name, landing ...                See full summary »
"
Bachelor's Vegetable Store,(2011–2012),7.7,72,-,Drama,"Ji Chang-Wook, Sin-hye Hwang, Hang-Seon Jang, No-min Jeon","
Based on the true story of a young man who turned a tiny vegetable shop into a national chain, Bachelor's Vegetable Store centers on the love lives and successes of six single young men. Ji...                See full summary »
"
Family Outing,(2008–2010),8.7,165,80 min,Game-Show,"Jae-Suk Yoo, Hyo-ri Lee, Jong-shin Yoon, Soo-Ro Kim","
A South Korea Variety Show. It consists of a permanent cast of eight 'Family' members, with one or more guests per episode. The cast visit various South Korean locations, residing overnight...                See full summary »
"
Shik-gaek,(2008– ),8.2,59,65 min,"Drama, Romance","Rae-won Kim, Yeo Jin-gu, Seon-hyeok Kim, Bool-am Choi","
Talented chefs Bong Joo and Sung Chan were raised like brothers after Sung Chan was orphaned and taken in by Bong Joo's family. Bong Joo's family owns a famous traditional Korean restaurant...                See full summary »
"
Delayed Justice,(2020– ),7.3,32,60 min,"Comedy, Drama","Sang-Woo Kwon, Sung-Woo Bae, Kim Joo-Hyun, Jeong Woong-in","
A lawyer and a reporter team-up to fight for those who have been falsely accused by the judicial system."
Stone Age,(2017– ),5.0,17,-,Animation,"Matt Anipen, Nancy Kim, Samantha Moon, Anna Paik","
The people of Tectonika survived after the fall of technology, only in a form of primitive stone-age era residing along with wild dinosaurs. A passionate dreamer, Woody, along with a baby ...                See full summary »
"
Neighborhood Lawyer Jo Deul-ho,(2016– ),7.2,69,60 min,Drama,"Shin-yang Park, Hyun-Jung Go, Byun Hee-Bong, Kyung Hong","
Once a star prosecutor with a bright future, Jo Deul Ho loses everything after becoming a whistleblower against the intolerable corruption he witnesses. He instead rebuilds his life as a ...                See full summary »
"
Beautiful My Lady,(1997– ),8.2,9,-,"Drama, Romance","Eun-ha Shim, Song Seung-heon, Lee Byung-hun, Da Hoon Yoon","
Jun Ho is an orphan from young and grew up in the world alone. Never knowing kindness from people, he learned to survive on pure grit and determination. By chance, he was given an ...                See full summary »
"
Those Who Read the Hearts of Evil,(2021– ),-,-,-,"Crime, Mystery, Thriller",-,"
A crime thriller drama based on a web novel of the same name that contains the field experience of Kwon Il Yong, Korea's No. 1 profiler."
Pied Piper,(2016),7.4,54,-,Thriller,"Shin Ha-kyun, Yun-hie Jo, Joon-Sang Yoo, Jeon Gook-hwan","
Add a Plot
"
My Beautiful Bride,(2015),7.3,75,-,"Drama, Mystery, Romance","Mu-Yeol Kim, Lee El, Park Hae-joon, Jo Han-chul","
One man does whatever it takes to find his missing fiancée, even if he has to get his hands dirty and fight his way through the underworld in the process."
Punch,(2003– ),7.7,10,65 min,Drama,"Kwang-il Kim, Yi-hyeon So, Ju Jin-Mo, Bin-wu Kim","
Yu Bin's brother dies in a boxing match. Yu Bin decides to become a female boxer. Yu Bin meets Han Sae and the two become a couple."
Thousand Years of Love,(2003– ),6.0,28,-,Romance,"Tae-Yun Kim, So Ji-seob, Nam-jin Kim, Sa-rang Kim","
More than a thousand years ago from the present time, Puyeoju is the Baek Jae Empire's princess. Unlike other princesses, she is active and skilled in the arts and in sports. When the Baek ...                See full summary »
"
Twelve Nights,(2018),6.3,46,-,Drama,"Seung-Yeon Han, Hyun-soo Shin, Kim Do-Wan, Hyun-Sung Jang","
""12 Nights"" is a travel romance drama that tells the story of a man and a woman who spend 12 nights together during their three trips."
Jejoongwon,(2010– ),8.3,41,-,Drama,"Hye-jin Han, Yong-woo Park, Sean Dulake, Nam-kil Kang","
In this historical medical drama, three people from different backgrounds form an unlikely friendship as they all train to become the first Western medical practitioners in 1885 Korea. ...                See full synopsis »
"
SSIN,(2016),-,-,-,-,-,"
Add a Plot
"
Endless Love,(2014– ),7.4,30,-,"Drama, Romance","Hwang Jeong-eum, Soo-young Ryu, Jung Kyung-ho, In-Pyo Cha","
Add a Plot
"
Little Girl Detective Park Hae Sol,(2012),7.8,6,70 min,Crime,"Nam Ji-Hyun, Joo-Young Kim, Min-woo Lee","
When a reporter gets his hands on a wiretapped tape that could derail a powerful political candidate with ties to a shadowy organization, he plans to reveal the truth to the nation. But ...                See full summary »
"
Flames of Desire,(2010–2011),7.5,13,65 min,"Comedy, Drama","Eun-Kyung Shin, Min-Ki Jo, Yoo Seung-ho, Woo Seo","
The story of a conglomerate family that falls apart when the members are caught up in a furious battle for succession. Kim Tae-jin's children all covet his fortune and the power that he ...                See full summary »
"
