ID,BirthYear,Education,Marital_Status,Income,NKids,EnrollDate,Recency,Complain,AmtFruits,AmtMeats,AmtFish,AmtSweets,AmtGold,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumDiscPurchases,AccCampaign,Response
540,1956,Graduation,Married,71866,1,25/12/2013,85,0,178,178,103,39,33,6,3,10,1,None,No
541,1966,Master,Divorced,29435,2,6/8/2012,11,0,3,37,4,2,64,3,2,2,4,None,Yes
542,1981,Master,Single,36143,1,30/3/2014,33,0,0,1,0,0,6,0,1,2,1,None,No
543,1973,Graduation,Together,57100,0,4/12/2013,19,0,21,69,39,3,96,3,3,6,1,None,No
544,1955,Graduation,Single,80317,0,20/8/2013,64,1,11,387,149,91,57,3,4,10,1,None,No
545,1978,Graduation,Married,73807,1,2/1/2013,88,0,124,156,71,78,54,5,5,11,2,None,No
546,1958,PhD,Widow,33438,2,22/9/2013,81,0,1,16,3,2,6,2,1,4,4,None,No
547,1988,PhD,Married,67546,0,31/8/2012,90,0,134,768,150,38,172,4,10,5,1,None,No
548,1981,Graduation,Single,72066,0,23/6/2014,55,0,34,536,134,51,34,4,6,6,1,First,Yes
549,1961,PhD,Married,54456,1,11/7/2013,23,0,0,27,10,0,15,6,1,7,3,None,No
550,1976,PhD,Divorced,70179,1,21/7/2013,10,0,88,168,69,44,133,7,3,13,3,None,No
551,1958,Master,Single,30523,3,1/7/2013,0,0,0,3,0,0,5,1,0,2,1,None,No
552,1977,Graduation,Married,72117,1,20/8/2013,34,1,20,171,65,60,50,9,7,9,1,None,No
553,1977,PhD,Together,102160,0,2/11/2012,54,0,29,138,76,176,58,7,9,10,0,First,Yes
554,1992,2n Cycle,Married,87000,0,15/12/2012,61,0,25,607,67,17,49,4,6,7,1,None,No
555,1975,Master,Single,46098,2,18/8/2012,86,0,0,27,0,0,36,3,2,2,4,None,Yes
556,1969,Graduation,Married,56796,1,16/2/2013,24,0,38,161,62,47,37,8,9,7,3,None,No
557,1963,PhD,Single,48918,2,12/4/2014,21,0,0,9,0,0,1,1,0,4,2,None,No
558,1976,Master,Together,30560,1,27/6/2013,6,0,1,5,4,5,7,1,0,3,1,None,No
559,1975,Graduation,Married,33183,1,24/2/2014,46,0,5,39,17,15,37,4,0,3,2,None,No
560,1967,Graduation,Married,22574,3,28/10/2013,28,0,0,8,2,0,2,2,0,3,2,None,No
561,1955,Graduation,Married,65210,1,10/3/2014,25,0,0,70,0,7,28,9,3,8,2,First,No
562,1976,Graduation,Together,78416,1,27/6/2014,99,0,38,279,188,38,183,7,7,10,2,None,No
563,1972,PhD,Married,43269,1,16/9/2013,61,0,1,7,0,0,1,1,0,2,1,None,No
564,1979,Graduation,Single,60474,1,1/4/2013,25,0,199,303,234,9,170,10,2,12,7,None,No
565,1980,Graduation,Single,51766,1,11/3/2014,74,0,51,87,6,20,51,4,2,4,2,None,No
566,1983,Graduation,Single,24072,1,16/4/2013,79,0,1,6,3,0,4,1,0,2,1,None,No
567,1970,Graduation,Single,,3,23/8/2013,67,0,20,172,52,50,20,2,3,10,6,First,No
568,1949,PhD,Single,26518,2,8/4/2013,33,0,1,28,3,3,2,2,0,3,3,None,Yes
569,1973,Graduation,Married,49094,1,21/9/2012,6,0,0,38,11,8,69,6,3,6,5,None,No
570,1988,2n Cycle,Divorced,35388,1,7/3/2013,20,0,4,7,4,3,8,1,0,3,1,None,No
571,1978,Graduation,Married,67023,0,4/3/2014,93,1,44,382,11,8,17,3,7,13,1,None,No
572,1974,Master,Together,46014,2,21/1/2013,21,0,0,59,19,9,44,7,1,8,10,None,No
573,1947,PhD,Married,67472,1,28/9/2013,93,0,31,127,8,17,69,4,2,7,2,None,No
574,1975,2n Cycle,Divorced,67893,1,1/10/2012,31,0,28,142,49,18,47,3,2,9,2,None,No
575,1971,Master,Divorced,74290,1,12/8/2013,70,1,0,72,0,12,12,10,8,10,4,First,No
576,1963,Graduation,Divorced,68118,1,18/10/2013,51,0,23,123,10,23,154,8,9,4,2,None,No
577,1985,Graduation,Single,72903,0,29/10/2013,74,0,138,750,0,19,39,7,5,8,1,First,Yes
578,1963,Graduation,Single,49980,1,23/10/2013,79,0,1,54,13,9,14,3,1,5,2,None,No
579,1958,Graduation,Together,,2,3/9/2012,87,0,4,12,2,2,6,1,0,3,1,None,No
580,1974,PhD,Married,78128,1,19/2/2014,89,0,24,230,16,24,36,8,4,6,2,None,No
581,1981,Graduation,Divorced,28510,2,13/4/2013,72,0,5,19,0,4,19,2,0,4,3,None,No
582,1975,PhD,Single,52614,1,1/12/2012,63,0,0,142,12,9,38,2,4,8,2,None,No
583,1952,Master,Together,55951,1,23/8/2012,62,0,0,80,0,13,40,3,6,11,3,Second,No
584,1975,PhD,Single,52614,1,1/12/2012,63,1,0,142,12,9,38,2,4,8,2,None,No
585,1976,Graduation,Single,20180,0,20/2/2013,27,0,42,24,15,20,18,2,1,4,1,None,No
586,1978,Master,Single,68092,0,16/12/2013,7,0,60,207,78,36,48,2,6,10,2,None,No
587,1978,Graduation,Divorced,71847,0,21/9/2012,95,0,21,106,55,63,210,6,7,9,0,First,No
588,1982,Master,Together,23661,1,4/12/2013,46,0,0,4,0,0,1,1,0,3,1,None,No
589,1974,PhD,Single,68352,1,28/8/2013,47,0,16,132,43,33,33,8,5,9,3,None,No
590,1970,Master,Together,79419,0,22/6/2014,96,0,127,687,20,15,31,4,6,4,1,None,No
591,1964,Graduation,Single,45906,1,7/5/2013,20,0,3,27,4,3,144,5,4,4,2,None,No
592,1955,PhD,Together,46015,2,13/4/2014,25,0,0,2,0,0,6,1,0,3,1,Second,No
593,1954,Master,Divorced,62637,1,1/3/2014,76,0,12,48,4,12,5,2,2,5,1,None,No
594,1977,Master,Single,36273,1,16/4/2014,80,0,3,30,3,2,9,3,0,3,2,None,No
595,1978,Graduation,Married,28442,2,24/2/2014,53,0,3,10,11,8,6,2,1,4,3,None,No
596,1982,Graduation,Married,42081,1,26/2/2013,86,0,10,110,54,6,27,6,3,4,2,None,No
597,1979,Graduation,Together,75507,0,2/5/2014,56,0,93,374,104,80,80,8,6,6,1,None,No
598,1981,Graduation,Married,26872,0,16/10/2013,0,1,10,8,3,16,32,1,1,2,1,None,No
599,1943,PhD,Divorced,48948,0,1/2/2013,53,0,8,206,160,49,42,7,10,5,2,None,Yes
600,1976,Graduation,Together,85606,1,12/11/2012,89,0,42,864,219,30,84,6,7,9,2,First,No
601,1952,Master,Single,8820,2,22/3/2013,52,0,0,13,4,2,4,3,0,3,4,None,No
602,1976,Graduation,Married,30772,2,12/3/2014,89,0,2,4,2,1,4,1,0,2,1,None,No
603,1957,Master,Together,66636,0,17/8/2013,64,0,10,689,84,10,0,3,4,9,1,None,No
604,1992,Graduation,Single,83528,0,1/5/2014,7,0,117,678,134,44,147,4,10,8,1,First,Yes
605,1976,Graduation,Divorced,30992,1,22/4/2013,83,0,0,14,7,3,2,1,0,3,1,None,No
606,1966,Graduation,Together,37758,2,4/10/2012,49,0,2,10,0,0,1,1,0,3,2,None,No
607,1962,PhD,Widow,71670,0,9/7/2013,8,0,16,128,0,0,160,5,3,6,1,Second,Yes
608,1989,Master,Together,88420,0,2/5/2014,87,0,153,612,99,95,153,4,7,8,1,First,No
609,1965,Graduation,Married,69139,1,27/1/2014,23,0,12,75,33,15,6,4,1,5,1,None,No
610,1958,Graduation,Single,49967,1,8/7/2013,4,0,6,69,4,12,3,6,1,5,3,None,No
611,1984,Graduation,Married,24570,1,27/2/2013,97,0,34,62,11,14,44,4,0,4,3,None,No
612,1963,Master,Together,38620,0,11/5/2013,56,0,17,44,34,22,89,2,5,3,1,None,No
613,1983,PhD,Married,50150,0,20/6/2013,32,0,46,92,65,61,11,5,2,7,2,None,No
614,1966,Graduation,Married,54198,2,17/12/2013,13,0,0,28,3,2,17,3,1,6,6,None,No
615,1978,Graduation,Divorced,63693,1,14/10/2013,63,0,43,337,42,87,54,11,6,9,3,None,No
616,1975,PhD,Together,61905,1,4/2/2014,2,0,0,43,6,2,13,4,2,4,2,None,No
617,1990,Graduation,Married,18351,0,29/10/2013,1,0,12,9,0,14,7,2,0,3,1,None,No
618,1984,PhD,Married,70643,0,15/10/2012,66,0,107,304,23,143,33,5,8,4,1,None,Yes
619,1972,PhD,Married,59973,0,11/9/2013,47,0,30,168,20,34,0,3,4,7,1,None,No
620,1975,Graduation,Together,66653,2,7/9/2012,18,0,18,102,16,18,6,4,2,12,4,None,No
621,1978,PhD,Married,41014,1,22/4/2013,65,0,2,6,2,0,3,1,0,2,1,None,No
622,1974,Graduation,Married,45837,2,26/7/2013,88,0,13,87,17,17,24,6,2,5,5,None,No
623,1981,2n Cycle,Together,75774,1,2/5/2014,27,0,21,134,258,14,56,7,5,8,1,None,Yes
624,1970,Graduation,Divorced,44267,2,25/2/2013,48,0,5,65,3,5,49,5,2,4,5,None,No
625,1981,2n Cycle,Together,19414,1,16/10/2013,32,0,3,12,3,5,7,1,0,3,1,None,No
626,1961,Graduation,Single,82332,0,17/9/2012,89,0,59,968,51,79,19,5,3,12,1,None,Yes
627,1976,Graduation,Together,71322,1,2/5/2014,31,0,24,124,24,15,42,4,1,7,1,None,No
628,1977,Master,Married,22701,1,5/9/2013,2,0,4,9,0,4,5,1,0,3,1,None,No
629,1955,Graduation,Single,,1,18/10/2013,95,0,0,21,12,6,147,6,1,5,3,None,No
630,1981,Graduation,Together,38547,1,28/8/2013,49,1,1,10,0,1,4,1,0,2,1,None,No
631,1983,Graduation,Married,30096,1,22/5/2014,30,0,3,11,12,5,9,2,0,3,1,None,No
632,1964,Graduation,Single,18701,2,4/6/2013,95,0,4,2,10,6,10,2,0,4,4,None,No
633,1962,Master,Divorced,59432,1,13/4/2013,88,0,25,265,25,19,12,5,3,11,3,None,No
634,1956,Graduation,Single,91249,0,20/10/2012,84,0,27,119,71,108,27,7,9,6,0,Both,Yes
635,1982,2n Cycle,Single,74116,0,30/12/2013,53,0,111,704,145,55,166,4,4,10,1,None,No
636,1957,Graduation,Together,26091,2,25/2/2014,84,0,10,19,8,17,20,2,1,3,3,None,No
637,1957,PhD,Single,40737,3,8/12/2013,24,0,0,4,0,0,2,1,0,2,1,None,No
638,1973,Graduation,Married,32300,1,3/1/2013,1,0,3,6,6,5,6,1,0,3,1,None,No
639,1957,Master,Together,68148,0,31/8/2013,86,0,66,408,37,57,85,4,4,6,1,None,No
640,1959,Graduation,Together,87771,1,22/5/2013,61,0,38,287,50,57,33,5,10,4,1,Both,Yes
641,1980,Graduation,Single,81741,0,16/6/2013,75,1,153,940,58,134,38,6,6,7,0,None,No
642,1973,PhD,Single,46854,2,31/3/2014,81,0,1,79,7,1,79,5,1,3,6,None,Yes
643,1974,PhD,Single,71466,0,5/4/2014,86,0,12,546,78,182,0,4,4,10,1,None,No
644,1980,Graduation,Married,77353,1,16/12/2013,38,0,59,107,69,101,59,6,4,8,2,None,No
645,1987,PhD,Married,51563,0,1/10/2012,60,0,0,48,0,0,36,4,4,10,1,None,No
646,1983,Graduation,Married,39922,1,14/2/2013,30,0,12,59,19,1,36,3,0,4,2,None,No
647,1984,Master,Married,42207,1,1/4/2013,71,0,11,72,3,17,46,4,1,5,4,None,Yes
648,1973,Graduation,Married,37971,1,25/11/2013,97,0,4,10,2,2,7,1,0,3,1,None,No
649,1965,PhD,Married,62745,1,23/3/2013,89,0,21,464,28,10,32,7,8,11,3,None,No
650,1971,Graduation,Married,70886,1,14/10/2013,65,0,70,239,103,88,53,5,4,4,1,None,No
651,1958,Graduation,Single,68281,0,7/8/2012,31,0,112,417,42,48,41,2,9,13,1,None,Yes
652,1959,Graduation,Married,35701,0,19/3/2013,36,0,1,9,7,3,5,1,0,3,1,None,No
653,1964,Graduation,Married,42523,0,23/4/2014,96,0,36,11,3,26,35,1,1,4,1,None,No
654,1963,Master,Together,57288,1,25/6/2014,27,0,0,21,0,0,60,8,1,8,3,None,No
655,1978,2n Cycle,Together,17117,1,17/1/2013,96,0,23,38,30,18,7,3,1,3,4,None,No
656,1976,2n Cycle,Together,36301,1,25/10/2013,53,0,12,35,3,5,12,3,0,3,1,None,No
657,1955,Graduation,Divorced,49431,1,3/8/2012,9,0,3,100,26,0,17,7,1,5,2,None,No
658,1960,PhD,Married,49154,2,3/11/2013,69,0,10,67,30,27,71,4,1,8,6,None,No
659,1972,2n Cycle,Married,70932,1,19/1/2014,57,0,193,100,46,185,185,6,2,12,2,None,No
660,1967,PhD,Divorced,26642,1,1/3/2014,71,0,2,15,2,2,8,2,0,3,2,None,No
661,1956,Master,Married,52973,1,8/11/2012,92,0,0,76,12,9,199,9,6,9,7,None,No
662,1952,Graduation,Married,35704,2,3/1/2014,54,0,9,12,2,11,30,2,0,4,3,None,No
663,1973,2n Cycle,Married,35688,3,22/8/2012,94,0,3,90,12,1,32,4,1,4,7,None,No
664,1988,Graduation,Single,34176,1,12/5/2014,12,0,7,24,19,14,20,3,0,4,4,None,No
665,1967,PhD,Together,56575,2,5/5/2013,42,0,5,90,0,16,10,7,3,7,3,None,No
666,1985,Graduation,Single,29760,1,29/8/2012,87,0,4,68,7,5,17,3,1,4,4,None,No
667,1951,Graduation,Married,94642,0,12/2/2014,35,0,143,797,106,143,143,5,7,9,0,First,No
668,1948,PhD,Together,66375,1,21/11/2013,96,0,0,45,0,0,191,2,4,5,3,None,No
669,1977,Graduation,Married,42014,1,17/8/2012,56,0,15,108,4,15,50,7,1,6,6,None,Yes
670,1974,2n Cycle,Married,20130,0,17/3/2014,99,0,6,3,7,6,12,1,0,3,1,None,No
671,1970,Master,Divorced,55282,1,13/12/2013,9,0,6,73,8,4,19,3,1,6,1,None,No
672,1953,Master,Married,54348,2,8/6/2014,51,0,0,16,0,0,4,2,0,4,2,None,No
673,1992,Graduation,Married,34935,0,21/6/2013,71,0,4,66,3,10,20,2,1,4,1,None,No
674,1967,Graduation,Divorced,70844,2,30/10/2013,16,0,26,67,3,67,2,6,1,5,5,None,No
675,1970,Graduation,Married,69016,1,22/11/2012,61,1,53,363,123,107,161,8,9,13,4,None,No
676,1958,PhD,Together,78952,1,24/9/2012,11,0,19,594,99,76,134,2,5,12,2,None,No
677,1964,Graduation,Single,45989,1,22/10/2012,97,0,33,87,28,24,12,3,2,7,4,None,No
678,1984,Graduation,Single,36108,1,15/10/2013,68,0,8,129,3,11,47,7,1,4,3,None,No
679,1951,Master,Married,67381,1,15/1/2013,67,0,8,53,11,0,70,2,2,9,4,None,No
680,1968,Master,Divorced,63841,1,21/4/2013,64,0,15,100,20,7,131,9,3,9,1,None,No
681,1975,Graduation,Married,76068,1,29/11/2012,67,0,12,128,33,12,76,2,3,4,1,Second,No
682,1975,Graduation,Divorced,70300,1,15/7/2013,89,0,61,338,60,46,46,5,5,13,3,None,No
683,1955,PhD,Married,59821,1,12/4/2013,11,0,0,70,0,0,35,11,2,7,6,None,No
684,1991,PhD,Together,68682,0,6/10/2013,56,0,0,505,99,30,45,4,9,10,1,None,No
685,1955,2n Cycle,Married,72635,0,3/6/2013,54,0,22,323,104,35,107,6,8,6,1,First,No
686,1951,Graduation,Single,80872,0,12/5/2014,60,0,72,567,94,12,108,4,4,10,1,None,No
687,1969,Graduation,Married,14045,1,26/1/2014,24,0,0,5,2,1,1,1,0,3,1,None,No
688,1972,Graduation,Married,56721,2,31/10/2012,64,0,6,39,6,13,75,4,1,5,5,None,No
689,1956,Graduation,Single,60714,0,17/1/2013,56,0,162,224,101,92,162,7,4,10,2,None,Yes
690,1975,PhD,Married,69283,1,14/6/2014,41,0,62,134,0,26,8,7,3,13,4,None,No
691,1977,PhD,Divorced,34487,2,6/9/2012,94,0,18,33,24,1,8,3,0,3,3,None,No
692,1971,PhD,Married,60585,2,24/6/2013,17,0,42,309,55,42,21,7,4,9,10,None,Yes
693,1950,Graduation,Single,16813,0,19/7/2013,49,0,8,11,12,2,13,2,0,3,1,None,No
694,1958,Graduation,Married,48192,0,6/4/2013,76,0,43,204,153,58,29,2,8,12,3,Both,Yes
695,1975,Graduation,Together,55914,1,29/4/2013,32,0,60,364,119,101,232,11,6,8,4,None,No
696,1976,PhD,Married,55424,1,25/11/2012,6,0,61,184,10,53,107,7,5,9,4,None,Yes
697,1950,Graduation,Divorced,82460,0,2/12/2013,78,0,47,573,52,32,15,5,3,6,1,None,No
698,1970,Graduation,Single,76467,1,17/8/2012,44,0,161,426,210,44,58,2,5,5,2,None,Yes
699,1952,Graduation,Single,62307,1,17/2/2014,94,0,13,34,10,6,10,4,0,4,1,None,No
700,1952,Graduation,Single,40887,2,6/5/2013,32,0,4,44,10,10,43,3,1,3,3,None,Yes
701,1983,Graduation,Married,25271,1,5/12/2012,45,0,1,18,10,4,7,1,1,2,1,None,No
702,1990,Master,Single,91172,0,27/3/2013,94,1,28,818,0,28,56,4,3,7,0,Both,Yes
703,1962,Graduation,Together,75072,1,23/1/2013,83,0,34,309,0,22,125,5,4,8,2,None,No
704,1971,Master,Single,39763,1,4/8/2013,9,0,1,60,4,6,16,5,1,2,2,None,Yes
705,1970,Graduation,Together,38200,2,7/12/2012,19,0,0,4,0,0,1,1,0,2,1,None,No
706,1968,PhD,Married,38443,2,27/1/2014,58,0,0,5,0,0,1,1,0,3,2,None,No
707,1965,Graduation,Single,66294,0,17/3/2014,68,0,108,334,65,92,117,4,3,5,1,None,No
708,1960,Graduation,Together,19740,1,24/3/2013,65,0,11,3,10,4,20,1,1,3,2,None,No
709,1981,Graduation,Together,31089,1,17/8/2012,57,0,3,31,2,8,4,3,0,4,3,None,No
710,1969,Master,Together,41021,1,30/12/2012,12,0,7,9,6,16,12,2,0,3,2,None,Yes
711,1954,Master,Together,60033,1,29/3/2014,28,0,1,57,19,11,48,2,1,5,2,None,No
712,1988,2n Cycle,Married,16248,1,10/5/2014,77,0,11,10,3,12,9,2,1,3,3,None,No
713,1952,Graduation,Together,83844,0,12/5/2013,57,0,31,345,75,31,191,4,4,11,1,None,No
714,1955,Master,Married,38452,2,30/3/2014,62,0,0,14,0,0,2,3,0,3,3,None,No
715,1969,PhD,Together,42731,1,21/10/2013,64,0,2,51,6,2,24,4,1,5,3,None,No
716,1961,PhD,Together,63342,1,16/10/2012,48,0,21,118,13,10,21,8,3,5,3,None,Yes
717,1949,Graduation,Divorced,49160,1,20/10/2013,29,0,21,43,25,10,15,3,1,6,2,None,No
718,1955,PhD,Single,49667,0,20/8/2012,35,0,26,120,17,13,39,5,10,5,2,None,Yes
719,1973,Master,Married,54108,2,5/11/2012,74,0,6,91,8,6,97,8,2,9,13,None,No
720,1963,Graduation,Together,77226,1,28/2/2014,29,0,43,239,128,76,21,6,8,12,2,None,No
721,1972,Graduation,Married,62710,1,23/5/2013,53,0,35,83,7,29,11,4,2,12,4,None,No
722,1970,Graduation,Married,63684,1,26/11/2012,61,0,80,428,208,93,80,8,4,8,3,None,No
723,1958,Master,Married,51412,1,31/12/2013,42,0,3,29,4,5,14,3,2,4,2,None,No
724,1960,2n Cycle,Divorced,87305,0,23/9/2012,19,0,25,501,63,138,80,5,3,8,1,None,Yes
725,1976,Graduation,Together,21675,1,11/6/2014,55,0,0,16,17,4,4,4,0,3,3,None,No
726,1987,Basic,Single,15038,1,29/1/2013,93,0,8,11,19,12,26,2,1,2,2,None,No
727,1978,Graduation,Single,38557,1,19/12/2012,17,0,3,31,4,4,27,3,1,3,2,None,No
728,1962,PhD,Single,52597,1,7/5/2014,69,0,0,37,7,0,42,6,3,8,3,None,No
729,1976,Graduation,Married,13624,1,20/1/2013,93,0,2,15,2,1,6,2,0,3,2,None,No
730,1974,Master,Married,63206,0,20/3/2014,65,0,8,125,11,8,26,4,3,6,1,None,No
731,1972,PhD,Single,27213,1,30/8/2012,19,0,3,26,10,9,3,2,0,4,3,None,Yes
732,1986,Graduation,Single,39146,1,14/2/2013,1,0,1,33,13,12,12,4,0,4,3,None,No
733,1995,2n Cycle,Single,80617,0,12/10/2012,42,0,51,631,72,55,32,4,6,8,1,None,No
734,1977,2n Cycle,Together,25315,1,7/11/2013,46,0,9,8,11,3,22,3,0,3,3,None,No
735,1969,Graduation,Married,80952,0,28/2/2013,20,0,178,689,41,27,44,8,5,11,1,First,Yes
736,1971,Graduation,Single,55239,1,14/7/2013,59,0,17,238,23,24,106,7,5,11,3,None,No
737,1973,Graduation,Widow,60208,2,7/10/2012,13,0,23,71,15,0,59,8,3,7,11,None,Yes
738,1986,Master,Married,80141,0,11/1/2013,20,0,102,673,52,40,40,7,4,10,1,None,Yes
739,1965,Graduation,Divorced,30630,2,27/1/2014,67,0,1,12,2,0,10,2,0,3,2,None,No
740,1954,Graduation,Together,39898,1,12/2/2013,20,0,8,26,12,7,12,3,0,4,2,None,No
741,1983,Graduation,Together,78687,0,9/8/2012,13,0,185,687,145,55,241,4,6,8,1,None,Yes
742,1978,Graduation,Single,28647,1,21/8/2013,54,0,8,29,0,12,26,2,2,2,1,None,Yes
743,1984,PhD,Single,39684,1,12/10/2012,41,1,0,35,6,4,17,2,1,2,2,None,Yes
744,1944,Master,Married,80184,0,1/3/2014,19,0,134,670,25,38,0,6,3,10,1,First,No
745,1959,Graduation,Divorced,52332,0,28/8/2013,63,0,5,33,7,0,2,3,2,6,1,None,No
746,1959,Graduation,Married,61180,1,23/4/2014,70,0,24,29,6,24,218,5,5,6,2,None,No
747,1972,Graduation,Single,44503,2,16/4/2014,83,0,1,8,0,0,8,2,0,3,2,None,No
748,1961,PhD,Single,84865,0,9/5/2013,1,0,16,349,43,16,16,2,4,9,1,Both,Yes
749,1986,PhD,Together,34320,1,16/2/2014,66,0,1,9,3,0,0,1,0,2,1,None,No
750,1955,Master,Married,52750,1,4/2/2013,72,0,0,239,90,69,69,5,7,9,6,None,No
751,1988,2n Cycle,Married,23331,1,4/9/2012,92,0,36,7,0,10,45,3,0,3,2,None,No
752,1973,Graduation,Together,73926,0,2/3/2013,54,0,91,597,159,91,15,6,5,12,1,None,No
753,1958,Graduation,Together,65196,2,25/7/2013,34,0,19,181,12,0,200,7,6,11,2,None,No
754,1986,PhD,Single,69867,0,2/4/2013,30,0,0,512,33,130,54,3,5,8,1,First,Yes
755,1959,Master,Widow,33051,0,16/8/2012,15,0,71,243,108,94,219,9,1,8,3,None,Yes
756,1968,Graduation,Married,61314,1,25/4/2013,1,0,0,189,97,172,172,5,5,12,2,None,No
757,1972,PhD,Together,,1,2/3/2014,17,0,1,13,0,0,3,1,0,3,1,None,No
758,1959,PhD,Married,52854,2,24/3/2014,43,0,0,10,0,1,0,2,1,4,2,None,No
759,1956,Graduation,Together,34633,3,23/1/2014,31,0,1,5,0,0,1,1,0,2,1,None,No
760,1968,Graduation,Married,41120,2,6/11/2013,80,0,2,23,0,8,24,2,1,3,3,None,No
761,1955,Graduation,Married,67225,1,26/11/2013,4,1,35,322,46,7,143,7,2,11,3,None,No
762,1955,Graduation,Together,59925,1,30/11/2012,83,0,21,176,19,21,56,9,2,9,3,None,No
763,1951,Graduation,Married,71107,1,17/2/2013,61,0,10,217,198,174,195,7,6,13,2,None,No
764,1979,Basic,Together,24594,1,10/12/2013,94,0,3,6,10,0,9,1,0,3,1,None,No
765,1953,Master,Married,59354,2,24/4/2014,59,0,21,78,39,13,13,4,4,7,1,None,No
766,1962,Graduation,Single,69627,1,17/3/2013,35,0,161,215,171,30,53,8,2,11,2,None,No
767,1958,Basic,Single,15056,2,3/5/2013,76,0,12,3,21,6,40,2,2,3,5,None,No
768,1974,Graduation,Married,42557,1,29/8/2012,98,0,5,53,0,5,15,6,1,4,4,None,No
769,1963,Basic,Together,14918,1,7/12/2012,52,0,3,3,15,4,15,1,0,3,1,None,No
770,1961,Master,Together,74881,2,8/3/2013,48,0,72,270,36,27,54,9,2,12,4,None,No
771,1963,Graduation,Married,22419,0,18/4/2013,74,0,3,47,19,21,42,3,2,2,1,None,No
772,1960,Graduation,Together,63381,1,5/10/2012,78,0,50,142,33,50,159,4,5,13,4,None,No
773,1947,PhD,Together,73059,1,31/8/2013,36,0,112,420,0,82,71,9,3,13,1,None,No
774,1977,2n Cycle,Together,20981,0,30/4/2013,14,0,12,10,6,13,30,3,1,2,1,None,Yes
775,1947,PhD,Together,73059,1,31/8/2013,36,0,112,420,0,82,71,9,3,13,1,None,No
776,1978,2n Cycle,Together,63855,0,9/2/2013,28,0,35,314,93,116,89,7,3,13,1,None,No
777,1980,2n Cycle,Single,31859,1,27/2/2014,3,0,4,7,15,8,11,1,0,3,1,None,No
778,1983,PhD,Married,33569,1,16/10/2013,10,0,2,18,3,0,24,1,1,2,1,None,Yes
779,1970,Graduation,Single,27242,1,11/11/2012,2,0,17,26,20,1,39,2,0,3,2,None,Yes
780,1984,Graduation,Married,27255,1,7/11/2013,3,0,1,11,0,1,2,1,0,3,1,None,No
781,1972,Graduation,Married,65685,1,29/3/2014,54,0,14,49,0,7,57,9,2,9,1,None,No
782,1975,Graduation,Divorced,83829,0,8/10/2013,78,0,161,430,186,161,27,4,7,6,0,First,Yes
783,1971,PhD,Together,49269,1,15/8/2012,92,0,8,166,11,8,58,7,3,12,3,None,No
784,1976,Master,Single,72309,0,11/3/2013,64,0,0,883,50,38,0,5,6,8,1,First,Yes
785,1952,2n Cycle,Widow,28457,0,28/10/2012,96,0,1,108,29,29,14,4,1,4,1,None,No
786,1965,PhD,Divorced,57912,1,17/3/2014,34,0,0,80,0,0,35,8,3,12,5,None,No
787,1980,Graduation,Together,44010,1,13/10/2012,46,0,36,234,86,72,48,10,2,6,6,None,No
788,1966,Graduation,Married,61286,1,2/8/2013,34,0,0,107,19,9,117,7,1,8,2,None,No
789,1947,PhD,Widow,68117,1,10/3/2013,80,0,44,215,0,17,36,11,8,4,2,None,Yes
790,1965,Graduation,Divorced,4861,0,22/6/2014,20,0,1,1,1,0,1,0,0,0,0,None,No
791,1971,PhD,Married,78931,0,25/10/2013,19,0,197,170,58,152,35,2,8,13,1,None,No
792,1970,2n Cycle,Divorced,65706,0,28/6/2013,77,0,10,129,13,0,129,11,3,12,1,Second,Yes
793,1974,Master,Together,43018,1,1/11/2013,46,0,4,17,7,6,64,2,2,2,1,None,No
794,1976,Graduation,Together,50200,2,3/4/2013,70,0,6,51,8,6,64,7,1,5,6,None,No
795,1983,PhD,Divorced,90687,0,22/5/2013,98,0,17,672,23,34,51,6,2,8,1,None,Yes
796,1946,PhD,Together,64014,3,10/6/2014,56,0,0,30,0,0,8,8,2,5,7,First,No
797,1960,PhD,Married,77037,1,13/10/2013,3,0,96,333,168,53,10,7,7,12,1,None,No
798,1972,PhD,Together,62220,1,11/8/2012,55,0,12,375,16,12,12,7,6,5,5,None,Yes
799,1970,Graduation,Married,22979,1,6/9/2012,29,0,17,19,20,21,22,3,2,2,3,None,Yes
800,1976,Graduation,Divorced,31859,1,14/6/2013,77,1,1,3,8,0,5,1,0,2,1,None,No
801,1971,Graduation,Divorced,43300,1,13/10/2012,87,0,3,52,2,1,31,4,0,4,3,None,Yes
802,1954,PhD,Married,65324,1,11/1/2014,0,0,0,102,21,32,5,6,2,9,3,None,No
803,1966,Master,Married,49605,0,21/6/2014,65,0,16,29,12,20,8,2,1,4,1,None,No
804,1992,Basic,Single,18746,1,29/5/2014,41,0,10,11,12,9,20,3,0,3,2,None,No
805,1955,PhD,Single,61284,0,12/10/2013,76,0,15,106,20,7,45,11,2,8,1,None,No
806,1976,PhD,Married,49544,1,12/2/2013,0,0,0,73,0,0,23,5,1,8,2,None,No
807,1978,2n Cycle,Divorced,21282,1,11/5/2014,76,0,5,8,4,8,20,2,1,2,2,None,No
808,1969,PhD,Married,94871,2,1/9/2012,99,0,24,553,188,0,144,8,5,4,1,None,Yes
809,1954,2n Cycle,Married,63564,0,29/1/2014,0,1,80,252,15,34,65,10,10,7,1,None,Yes
